13597,17.520883,68.854633
13612,5.3303,62.01035
13629,5.631317,59.285483
13643,5.33105,61.035117
13644,5.381767,60.5549
13669,7.101183,62.6461
13677,9.1231,63.33155
13691,29.680717,69.9099
13699,5.342433,60.7411
13704,5.396167,60.716217
13706,5.237383,61.5771
13708,5.31025,61.565267
13711,5.375283,61.479283
13727,9.15525,63.655783
13764,12.95735,66.41295
13765,12.958033,66.46165
13782,15.2339,68.491583
13784,15.020717,68.936633
13804,18.6539,69.788617
13813,27.123317,70.629167
13837,5.209233,61.902217
13838,5.284667,61.356333
13841,5.29085,61.910183
13845,5.3275,62.140833
13852,7.192817,62.6275
13865,30.395617,69.7948
13867,5.533667,59.657983
13870,5.3535,60.563233
13874,5.4001,60.5821
13876,5.443633,60.479783
13886,9.1299,63.997583
13887,9.1311,63.617183
13931,15.121867,67.656517
13949,21.028183,69.977633
13959,11.2208,64.815782
13996,23.024617,70.566233
14016,8.2553,58.140267
14018,5.004367,60.627433
14019,12.31975,65.139233
14035,4.79225,61.041133
14039,5.169533,60.02005
14040,5.124117,60.081383
14041,8.694417,63.65835
14042,8.677683,63.867683
14043,7.450533,62.64515
14076,12.169217,65.4933
14081,5.340483,61.110083
14086,5.152383,59.72855
14136,5.445867,59.058
14245,11.792967,65.11235
14435,4.878417,60.565133
14495,5.811533,59.28955
14678,14.6805,68.659717
14679,14.8005,68.668367
14795,15.770433,68.37905
14796,16.12235,68.525883
14799,5.452733,60.058967
15118,12.79975,66.39365
15196,5.26075,59.845917
15236,19.161017,69.78865
15375,9.057067,63.98405
15403,4.711383,61.10195
15455,15.411717,67.176717
15456,5.8536,61.1056
15460,25.55705,70.89355
15461,25.446817,70.8709
15462,25.747833,70.98
15517,23.229167,70.52875
15655,12.709967,66.235783
15657,20.748483,69.950783
15659,21.8331,69.907683
15796,5.927667,59.387533
15860,17.088617,69.236017
15956,29.487075,69.914667
15957,29.035033,70.066233
16015,20.7668,69.890017
16055,25.254333,70.83325
16165,15.1288,67.573117
16216,15.087283,68.863
16255,30.415333,69.731167
16736,20.69315,69.957833
16755,5.434733,59.944217
16939,15.435433,68.410483
17015,5.788733,59.730433
17077,18.022167,69.5115
17176,15.979433,68.699
17177,5.34815,61.89445
17235,13.018317,66.420867
17357,5.721883,59.132517
17495,8.2162,63.04965
17575,5.3895,59.251983
18015,5.4514,59.953633
18117,21.685083,70.273783
18217,5.174033,59.397383
18235,6.193083,59.2694
18275,5.870017,59.192033
18595,15.361633,68.601767
18639,5.883333,59.392317
18657,5.133333,61.15495
18717,14.313183,67.132283
18755,11.394183,64.749967
18898,5.631333,60.458083
18936,12.139167,65.6862
19015,9.180583,63.333533
19016,9.19075,63.506067
